32 	32 	32 	32 	32 	32 	32 	
1.744349e-05 	5.276202e-05 	9.846286e-05 	1.587170e-04 	2.242121e-04 	2.972394e-04 	3.148523e-04 	
31 	31 	31 	31 	31 	31 	31 	
3.488697e-05 	1.055240e-04 	1.969257e-04 	3.174341e-04 	4.484242e-04 	5.944788e-04 	6.297047e-04 	
30 	30 	30 	30 	30 	30 	30 	
6.977395e-05 	2.110481e-04 	3.938514e-04 	6.348682e-04 	8.968483e-04 	1.188958e-03 	1.259409e-03 	
29 	29 	29 	29 	29 	29 	29 	
1.395479e-04 	4.220962e-04 	7.877029e-04 	1.269736e-03 	1.793697e-03 	2.377915e-03 	2.518819e-03 	
28 	28 	28 	28 	28 	28 	28 	
2.790958e-04 	8.441923e-04 	1.575406e-03 	2.539473e-03 	3.587393e-03 	4.755830e-03 	5.037637e-03 	
27 	27 	27 	27 	27 	27 	27 	
5.581916e-04 	1.688385e-03 	3.150812e-03 	5.078945e-03 	7.174787e-03 	9.511661e-03 	1.007527e-02 	
26 	26 	26 	26 	26 	26 	26 	
1.116383e-03 	3.376769e-03 	6.301623e-03 	1.015789e-02 	1.434957e-02 	1.902332e-02 	2.015055e-02 	
25 	25 	25 	25 	25 	25 	25 	
2.232766e-03 	6.753539e-03 	1.260325e-02 	2.031578e-02 	2.869915e-02 	3.804664e-02 	4.030110e-02 	
24 	24 	24 	24 	24 	24 	24 	
4.465533e-03 	1.350708e-02 	2.520649e-02 	4.063156e-02 	5.739829e-02 	7.609328e-02 	8.060220e-02 	
23 	23 	23 	23 	23 	23 	23 	
8.931065e-03 	2.701415e-02 	5.041298e-02 	8.126313e-02 	1.147966e-01 	1.521866e-01 	1.612044e-01 	
22 	22 	22 	22 	22 	22 	22 	
1.786213e-02 	5.402831e-02 	1.008260e-01 	1.625263e-01 	2.295932e-01 	3.043731e-01 	3.224088e-01 	
21 	21 	21 	21 	21 	21 	21 	
3.572426e-02 	1.080566e-01 	2.016519e-01 	3.250525e-01 	4.591864e-01 	6.087463e-01 	6.448176e-01 	
20 	20 	20 	20 	20 	20 	20 	
7.144852e-02 	2.161132e-01 	4.033039e-01 	6.501050e-01 	9.183727e-01 	1.217493e+00 	1.289635e+00 	
19 	19 	19 	19 	19 	19 	19 	
1.428970e-01 	4.322265e-01 	8.066078e-01 	1.300210e+00 	1.836745e+00 	2.434985e+00 	2.579270e+00 	
18 	18 	18 	18 	18 	18 	18 	
2.857941e-01 	8.644529e-01 	1.613216e+00 	2.600420e+00 	3.673491e+00 	4.869970e+00 	5.158541e+00 	
17 	17 	17 	17 	17 	17 	17 	
5.715882e-01 	1.728906e+00 	3.226431e+00 	5.200840e+00 	7.346982e+00 	9.739940e+00 	1.031708e+01 	
16 	16 	16 	16 	16 	16 	16 	
1.143176e+00 	3.457812e+00 	6.452862e+00 	1.040168e+01 	1.469396e+01 	1.947988e+01 	2.063416e+01 	
15 	15 	15 	15 	15 	15 	15 	
2.286353e+00 	6.915623e+00 	1.290572e+01 	2.080336e+01 	2.938793e+01 	3.895976e+01 	4.126833e+01 	
14 	14 	14 	14 	14 	14 	14 	
4.572705e+00 	1.383125e+01 	2.581145e+01 	4.160672e+01 	5.877585e+01 	7.791952e+01 	8.253665e+01 	
13 	13 	13 	13 	13 	13 	13 	
9.145411e+00 	2.766249e+01 	5.162290e+01 	8.321344e+01 	1.175517e+02 	1.558390e+02 	1.650733e+02 	
